Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
1,-0.005262611112397578,-0.01325826408117337
1.123324032978027,-0.005315701705667576,-0.0143525352307563
1.261856883066021,-0.005237440077129663,-0.01621279786388641
1.417474162926805,-0.005041067691224772,-0.01845753821829987
1.592282793341094,-0.005261458398311676,-0.02056672067558551
1.788649529057435,-0.00515167585869029,-0.02269417271627105
2.009233002565046,-0.005179852443768063,-0.02609284607024165
2.257019719633921,-0.005154237914295189,-0.02880438015455766
2.535364493970111,-0.005259872957202561,-0.03201817531398632
2.848035868435805,-0.005069300182634644,-0.03746961593855502
3.199267137797384,-0.005198511615880759,-0.04114000908855076
3.593813663804625,-0.004883656919475531,-0.04741213578837744
4.037017258596558,-0.005319150987515673,-0.05289784819498777
4.534878508128582,-0.005115166641747065,-0.05738650816959989
5.094138014816386,-0.005254919245485583,-0.06550432315407306
5.72236765935022,-0.005110474683364785,-0.07248691253215611
6.42807311728432,-0.00514379362060939,-0.08243486272786527
7.220809018385456,-0.005159697985082195,-0.09272193147450025
8.111308307896872,-0.004961026227941612,-0.1033727924470327
9.111627561154886,-0.005083720648912048,-0.1168613665520581
10.23531021899026,-0.005051699266680519,-0.130020542359631
11.49756995397736,-0.005133959839842047,-0.1467011880482545
12.91549665014884,-0.004819846169441757,-0.1652328878462583
14.50828778495939,-0.004747831646549025,-0.1845850764589017
16.29750834620643,-0.004682033175920046,-0.2069201548309039
18.3073828029537,-0.00459202209242676,-0.2319070298171084
20.56512308348652,-0.004418776246249527,-0.2615974774514314
23.10129700083158,-0.004159694359124994,-0.2943453831341571
25.95024211399738,-0.003687535171814294,-0.328945013261928
29.15053062825176,-0.003357778025296972,-0.3717228548002538
32.74549162877725,-0.002686450401762352,-0.4154576481842298
36.78379771828634,-0.001721388172666863,-0.4674713884896278
41.32012400115343,-0.0007631936325642644,-0.525965405281525
46.41588833612772,-0.0003468570854861637,-0.589044080728911
52.14008287999684,0.002326363009163978,-0.6670506285618387
58.57020818056673,0.003985476377150354,-0.7401484349413465
65.79332246575683,0.006432796020302747,-0.8361289946750219
73.90722033525775,0.009651063002446024,-0.9385024381877456
83.02175681319753,0.01363513533453635,-1.054782852578242
93.26033468832199,0.01911753077753141,-1.185070896720106
104.7615752789664,0.0253299460299958,-1.332208632828885
117.6811952434999,0.03347927625306935,-1.497206799107914
132.194114846603,0.0438611639180462,-1.684084721972727
148.4968262254465,0.05722034049847376,-1.894879381830554
166.8100537200059,0.07420186662768483,-2.130345645061993
187.3817422860385,0.09571083227648966,-2.400259763212361
210.490414451202,0.1229007322036067,-2.705882585792551
236.4489412645407,0.1574149806134182,-3.05333943288872
265.6087782946687,0.2010900175153779,-3.446754646188467
298.364724028334,0.2565778866765436,-3.899127917168386
335.1602650938844,0.3272363435693942,-4.419871572889846
376.4935806792467,0.4168244432912365,-5.022555623679921
422.9242874389499,0.5312729768526132,-5.723213836779124
475.0810162102799,0.6775484816619398,-6.550009175403787
533.6699231206308,0.8654197426654264,-7.535760724275633
599.4842503189409,1.107489695420416,-8.728070733333134
673.4150657750821,1.420698173522915,-10.20345816944166
756.4633275546291,1.829879309711973,-12.07919468571495
849.7534359086438,2.36893886020577,-14.54153659137619
954.5484566618337,3.085360306133129,-17.93628680762096
1072.267222010323,4.048080872621407,-22.91914468702726
1204.503540258782,5.339273125015217,-30.86850078278911
1353.047774579808,6.962373102219992,-44.86037656050537
1519.911082952933,8.283142637123408,-69.9205821785843
1707.352647470692,7.587320063799074,-102.8974081115732
1917.910261672489,4.721992682945259,-128.7665888570616
2154.434690031882,1.267088969922713,-144.2629417032402
2420.128264794384,-2.035435375327039,-153.3884612939696
2718.58824273294,-5.049843906249254,-159.1282812538384
3053.855508833417,-7.820280099847605,-162.9886733510869
3430.469286314919,-10.40795859353714,-165.7260767380139
3853.528593710527,-12.85563001294991,-167.745230069199
4328.76128108306,-15.19700549365228,-169.2928270355779
4862.601580065353,-17.45828691200769,-170.4462294538826
5462.277217684343,-19.65730045160691,-171.3673402147926
6135.907273413173,-21.7975124650229,-172.0648277957712
6892.612104349695,-23.90118934193692,-172.5356896601344
7742.636826811269,-25.96092863238754,-172.9395423581705
8697.490026177829,-27.97851786190263,-173.1630336822315
9770.099572992256,-29.96629559899782,-173.3657057363628
10974.98765493056,-31.91699728794823,-173.3171144181844
12328.46739442067,-33.79653602498781,-173.3947465077654
13848.86371393873,-35.65308065626248,-173.3301685125555
15556.76143930471,-37.46772352226784,-173.1261747347255
17475.28400007684,-39.20096528498976,-172.9770090965409
19630.4065004027,-40.90150678536526,-173.242803531339
22051.30739903047,-42.43243809175659,-172.8546540807125
24770.76355991711,-43.71935721126916,-172.7592252325552
27825.59402207123,-45.19912431433311,-172.7576904931513
31257.15849688237,-46.46529328007688,-172.670432667964
35111.9173421513,-47.5558773375089,-171.928495965666
39442.06059437657,-48.72840495767118,-173.163762725773
44306.2145758388,-49.86389605992889,-173.8884937616275
49770.23564332114,-50.48705570936131,-173.4772953834146
55908.10182512223,-51.25345225002009,-173.0491159939779
62802.91441834249,-51.73709921935247,-174.3428087644227
70548.02310718645,-52.38178630471949,-174.1852441768472
79248.28983539171,-52.88723248424453,-174.1427328703679
89021.5085445039,-53.39516552354372,-177.0327507337298
100000,-53.80883327651799,-177.1710312656285
